2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 127
2, 10, Note_on_c, 0, 64, 46
2, 10, Note_on_c, 0, 60, 43
2, 13, Note_on_c, 0, 48, 41
2, 19, Note_on_c, 0, 55, 23
2, 46, Control_c, 0, 64, 0
2, 46, Control_c, 0, 64, 0
2, 86, Control_c, 0, 64, 127
2, 86, Control_c, 0, 64, 127
2, 138, Control_c, 0, 64, 0
2, 138, Control_c, 0, 64, 0
2, 147, Note_off_c, 0, 48, 64
2, 154, Note_on_c, 0, 43, 36
2, 157, Note_on_c, 0, 67, 52
2, 160, Note_off_c, 0, 55, 64
2, 166, Note_on_c, 0, 50, 41
2, 170, Note_on_c, 0, 59, 46
2, 176, Note_off_c, 0, 60, 64
2, 176, Note_off_c, 0, 64, 64
2, 190, Control_c, 0, 64, 127
2, 190, Control_c, 0, 64, 127
2, 291, Note_off_c, 0, 43, 64
2, 298, Note_off_c, 0, 67, 64
2, 308, Note_off_c, 0, 50, 64
2, 312, Note_on_c, 0, 55, 34
2, 312, Note_on_c, 0, 48, 47
2, 320, Note_on_c, 0, 64, 49
2, 324, Note_on_c, 0, 60, 46
2, 325, Note_off_c, 0, 59, 64
2, 327, Control_c, 0, 64, 0
2, 327, Control_c, 0, 64, 0
2, 340, Control_c, 0, 64, 127
2, 340, Control_c, 0, 64, 127
2, 456, Control_c, 0, 64, 0
2, 456, Control_c, 0, 64, 0
2, 466, Note_off_c, 0, 48, 64
2, 466, Note_off_c, 0, 55, 64
2, 466, Note_on_c, 0, 67, 49
2, 473, Note_off_c, 0, 60, 64
2, 477, Note_on_c, 0, 59, 43
2, 480, Note_on_c, 0, 43, 31
2, 483, Note_on_c, 0, 50, 34
2, 492, Control_c, 0, 64, 127
2, 492, Control_c, 0, 64, 127
2, 497, Note_off_c, 0, 64, 64
2, 599, Control_c, 0, 64, 0
2, 599, Control_c, 0, 64, 0
2, 606, Note_off_c, 0, 67, 64
2, 615, Note_off_c, 0, 43, 64
2, 619, Note_on_c, 0, 55, 36
2, 619, Note_on_c, 0, 48, 50
2, 622, Note_on_c, 0, 64, 38
2, 626, Note_on_c, 0, 60, 36
2, 631, Note_off_c, 0, 59, 64
2, 635, Control_c, 0, 64, 127
2, 635, Control_c, 0, 64, 127
2, 643, Note_off_c, 0, 50, 64
2, 759, Control_c, 0, 64, 0
2, 759, Control_c, 0, 64, 0
2, 766, Note_on_c, 0, 67, 38
2, 779, Note_on_c, 0, 43, 41
2, 781, Note_off_c, 0, 55, 64
2, 782, Note_off_c, 0, 48, 64
2, 790, Note_off_c, 0, 60, 64
2, 790, Note_on_c, 0, 59, 41
2, 796, Note_off_c, 0, 64, 64
2, 799, Note_on_c, 0, 50, 28
2, 809, Control_c, 0, 64, 127
2, 809, Control_c, 0, 64, 127
2, 910, Note_off_c, 0, 67, 64
2, 916, Control_c, 0, 64, 0
2, 916, Control_c, 0, 64, 0
2, 928, Note_off_c, 0, 43, 64
2, 930, Note_on_c, 0, 55, 30
2, 935, Note_on_c, 0, 48, 39
2, 935, Note_on_c, 0, 60, 42
2, 935, Note_on_c, 0, 64, 38
2, 942, Note_off_c, 0, 59, 64
2, 949, Note_off_c, 0, 50, 64
2, 960, Control_c, 0, 64, 127
2, 960, Control_c, 0, 64, 127
2, 1068, Control_c, 0, 64, 0
2, 1068, Control_c, 0, 64, 0
2, 1076, Note_on_c, 0, 67, 36
2, 1079, Note_on_c, 0, 50, 36
2, 1083, Note_off_c, 0, 55, 64
2, 1083, Note_off_c, 0, 48, 64
2, 1086, Note_on_c, 0, 43, 28
2, 1092, Note_off_c, 0, 60, 64
2, 1092, Note_on_c, 0, 59, 31
2, 1104, Note_off_c, 0, 64, 64
2, 1116, Control_c, 0, 64, 127
2, 1116, Control_c, 0, 64, 127
2, 1214, Note_off_c, 0, 67, 64
2, 1227, Note_on_c, 0, 55, 28
2, 1233, Control_c, 0, 64, 0
2, 1233, Control_c, 0, 64, 0
2, 1238, Note_on_c, 0, 64, 32
2, 1238, Note_on_c, 0, 60, 36
2, 1244, Note_off_c, 0, 43, 64
2, 1250, Note_on_c, 0, 48, 30
2, 1253, Note_off_c, 0, 59, 64
2, 1264, Note_off_c, 0, 50, 64
2, 1264, Control_c, 0, 64, 127
2, 1264, Control_c, 0, 64, 127
2, 1378, Control_c, 0, 64, 0
2, 1378, Control_c, 0, 64, 0
2, 1391, Note_on_c, 0, 67, 27
2, 1396, Note_off_c, 0, 48, 64
2, 1400, Note_off_c, 0, 60, 64
2, 1402, Note_on_c, 0, 59, 28
2, 1405, Note_on_c, 0, 43, 23
2, 1413, Note_on_c, 0, 50, 23
2, 1417, Note_off_c, 0, 55, 64
2, 1424, Note_off_c, 0, 64, 64
2, 1429, Control_c, 0, 64, 127
2, 1429, Control_c, 0, 64, 127
2, 1537, Note_off_c, 0, 67, 64
2, 1561, Note_off_c, 0, 59, 64
2, 1561, Note_on_c, 0, 64, 26
2, 1561, Note_on_c, 0, 60, 24
2, 1562, Note_off_c, 0, 43, 64
2, 1569, Note_on_c, 0, 55, 19
2, 1574, Note_on_c, 0, 48, 24
2, 1584, Note_off_c, 0, 50, 64
2, 1726, Note_on_c, 0, 59, 26
2, 1734, Note_on_c, 0, 67, 24
2, 1735, Note_on_c, 0, 43, 27
2, 1736, Note_on_c, 0, 50, 1
2, 1757, Note_off_c, 0, 55, 64
2, 1758, Note_off_c, 0, 60, 64
2, 1772, Note_off_c, 0, 48, 64
2, 1780, Note_off_c, 0, 64, 64
2, 1887, Note_off_c, 0, 59, 64
