2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 127
2, 36, Note_on_c, 0, 64, 47
2, 44, Control_c, 0, 64, 127
2, 88, Note_on_c, 0, 68, 32
2, 178, Note_on_c, 0, 61, 44
2, 187, Note_off_c, 0, 64, 64
2, 283, Note_on_c, 0, 56, 41
2, 304, Note_off_c, 0, 61, 64
2, 506, Note_on_c, 0, 58, 46
2, 509, Note_on_c, 0, 66, 37
2, 532, Note_off_c, 0, 68, 64
2, 533, Note_off_c, 0, 56, 64
2, 658, Note_on_c, 0, 59, 37
2, 671, Note_off_c, 0, 58, 64
2, 677, Note_on_c, 0, 61, 48
2, 690, Note_off_c, 0, 59, 64
2, 703, Note_off_c, 0, 66, 64
2, 720, Note_on_c, 0, 63, 17
2, 720, Note_on_c, 0, 59, 50
2, 736, Note_off_c, 0, 61, 64
2, 736, Note_on_c, 0, 66, 32
2, 744, Control_c, 0, 64, 0
2, 767, Control_c, 0, 64, 127
2, 820, Note_on_c, 0, 58, 52
2, 843, Note_off_c, 0, 59, 64
2, 856, Note_off_c, 0, 66, 64
2, 876, Note_on_c, 0, 66, 54
2, 913, Note_off_c, 0, 66, 64
2, 935, Note_on_c, 0, 66, 47
2, 955, Note_on_c, 0, 59, 54
2, 963, Note_off_c, 0, 58, 64
2, 1155, Note_off_c, 0, 66, 64
2, 1175, Note_on_c, 0, 66, 40
2, 1175, Note_on_c, 0, 61, 43
2, 1178, Control_c, 0, 64, 0
2, 1198, Note_off_c, 0, 59, 64
2, 1217, Control_c, 0, 64, 127
2, 1284, Control_c, 0, 64, 0
2, 1307, Control_c, 0, 64, 127
2, 1367, Note_off_c, 0, 66, 64
2, 1399, Note_on_c, 0, 62, 46
2, 1404, Note_on_c, 0, 66, 40
2, 1409, Note_off_c, 0, 63, 64
2, 1416, Control_c, 0, 64, 0
2, 1425, Note_off_c, 0, 61, 64
2, 1437, Control_c, 0, 64, 127
2, 1513, Note_on_c, 0, 59, 46
2, 1542, Note_off_c, 0, 66, 64
2, 1558, Note_on_c, 0, 66, 48
2, 1603, Note_off_c, 0, 66, 64
2, 1631, Note_on_c, 0, 54, 46
2, 1641, Note_off_c, 0, 59, 64
2, 1641, Note_on_c, 0, 66, 47
2, 1718, Control_c, 0, 64, 0
2, 1757, Control_c, 0, 64, 127
2, 1848, Note_on_c, 0, 56, 48
2, 1854, Note_on_c, 0, 64, 47
2, 1861, Note_off_c, 0, 66, 64
2, 1862, Control_c, 0, 64, 0
2, 1875, Note_off_c, 0, 54, 64
2, 1884, Control_c, 0, 64, 127
2, 1956, Control_c, 0, 64, 0
2, 1977, Control_c, 0, 64, 127
2, 1989, Note_on_c, 0, 57, 47
2, 2011, Note_off_c, 0, 56, 64
2, 2017, Note_off_c, 0, 64, 64
2, 2027, Note_on_c, 0, 59, 47
2, 2037, Note_off_c, 0, 57, 64
2, 2052, Note_on_c, 0, 64, 46
2, 2060, Note_on_c, 0, 57, 50
2, 2064, Note_on_c, 0, 61, 33
2, 2070, Control_c, 0, 64, 0
2, 2078, Note_off_c, 0, 62, 64
2, 2081, Note_off_c, 0, 59, 64
2, 2101, Control_c, 0, 64, 127
2, 2124, Note_off_c, 0, 61, 64
2, 2164, Note_off_c, 0, 64, 64
2, 2172, Note_on_c, 0, 56, 47
2, 2186, Note_off_c, 0, 57, 64
2, 2224, Note_on_c, 0, 64, 34
2, 2256, Note_off_c, 0, 64, 64
2, 2276, Control_c, 0, 64, 0
2, 2280, Note_on_c, 0, 64, 49
2, 2284, Note_on_c, 0, 57, 48
2, 2296, Note_off_c, 0, 56, 64
2, 2300, Control_c, 0, 64, 127
2, 2402, Control_c, 0, 64, 0
2, 2424, Control_c, 0, 64, 127
2, 2467, Note_off_c, 0, 64, 64
2, 2489, Note_on_c, 0, 64, 46
2, 2493, Control_c, 0, 64, 0
2, 2499, Note_on_c, 0, 59, 43
2, 2518, Control_c, 0, 64, 127
2, 2523, Note_off_c, 0, 57, 64
2, 2610, Control_c, 0, 64, 0
2, 2641, Control_c, 0, 64, 127
2, 2663, Note_off_c, 0, 64, 64
2, 2706, Note_on_c, 0, 60, 47
2, 2711, Note_on_c, 0, 64, 44
2, 2731, Note_off_c, 0, 59, 64
2, 2816, Control_c, 0, 64, 0
2, 2827, Note_on_c, 0, 57, 44
2, 2838, Note_off_c, 0, 60, 64
2, 2840, Control_c, 0, 64, 127
2, 2885, Note_off_c, 0, 64, 64
2, 2900, Note_on_c, 0, 64, 41
2, 2944, Note_off_c, 0, 64, 64
2, 2956, Note_on_c, 0, 64, 32
2, 2956, Note_on_c, 0, 52, 43
2, 2981, Note_off_c, 0, 57, 64
2, 3033, Control_c, 0, 64, 0
2, 3058, Control_c, 0, 64, 127
2, 3183, Note_on_c, 0, 54, 44
2, 3194, Note_off_c, 0, 52, 64
2, 3203, Control_c, 0, 64, 0
2, 3234, Control_c, 0, 64, 127
2, 3314, Note_on_c, 0, 62, 48
2, 3347, Note_off_c, 0, 64, 64
2, 3467, Note_on_c, 0, 55, 47
2, 3468, Note_on_c, 0, 59, 39
2, 3493, Note_off_c, 0, 54, 64
2, 3505, Control_c, 0, 64, 0
2, 3518, Control_c, 0, 64, 127
2, 3660, Note_on_c, 0, 64, 52
2, 3679, Note_off_c, 0, 62, 64
2, 3708, Note_on_c, 0, 50, 40
2, 3708, Note_on_c, 0, 43, 31
2, 3710, Note_on_c, 0, 66, 50
2, 3736, Note_off_c, 0, 64, 64
2, 3738, Control_c, 0, 64, 0
2, 3743, Control_c, 0, 64, 0
2, 3774, Control_c, 0, 64, 127
2, 3775, Control_c, 0, 64, 127
2, 3927, Note_on_c, 0, 67, 52
2, 3952, Note_off_c, 0, 66, 64
2, 4033, Note_off_c, 0, 55, 64
2, 4045, Control_c, 0, 64, 0
2, 4058, Control_c, 0, 64, 127
2, 4136, Note_on_c, 0, 60, 42
2, 4136, Note_on_c, 0, 57, 49
2, 4138, Note_on_c, 0, 64, 57
2, 4154, Note_off_c, 0, 43, 64
2, 4157, Note_off_c, 0, 67, 64
2, 4169, Note_off_c, 0, 50, 64
2, 4169, Control_c, 0, 64, 0
2, 4179, Note_off_c, 0, 59, 64
2, 4188, Control_c, 0, 64, 127
2, 4278, Control_c, 0, 64, 0
2, 4300, Note_on_c, 0, 66, 50
2, 4315, Control_c, 0, 64, 127
2, 4320, Note_off_c, 0, 64, 64
2, 4349, Note_on_c, 0, 67, 63
2, 4355, Note_on_c, 0, 50, 49
2, 4359, Note_off_c, 0, 66, 64
2, 4365, Note_on_c, 0, 43, 37
2, 4390, Control_c, 0, 64, 0
2, 4456, Control_c, 0, 64, 127
2, 4547, Control_c, 0, 64, 0
2, 4574, Note_on_c, 0, 69, 57
2, 4578, Note_on_c, 0, 66, 49
2, 4583, Control_c, 0, 64, 127
2, 4593, Note_off_c, 0, 67, 64
2, 4709, Control_c, 0, 64, 0
2, 4712, Note_off_c, 0, 43, 64
2, 4728, Control_c, 0, 64, 127
2, 4752, Note_off_c, 0, 50, 64
2, 4792, Note_on_c, 0, 71, 55
2, 4794, Note_on_c, 0, 67, 48
2, 4799, Note_on_c, 0, 59, 43
2, 4803, Control_c, 0, 64, 0
2, 4813, Note_off_c, 0, 66, 64
2, 4815, Note_off_c, 0, 57, 64
2, 4815, Note_off_c, 0, 60, 64
2, 4815, Note_off_c, 0, 69, 64
2, 4824, Control_c, 0, 64, 127
2, 4930, Control_c, 0, 64, 0
2, 4943, Note_on_c, 0, 74, 59
2, 4953, Note_off_c, 0, 71, 64
2, 4975, Note_off_c, 0, 74, 64
2, 4996, Control_c, 0, 64, 127
2, 4999, Note_on_c, 0, 50, 55
2, 5000, Note_on_c, 0, 74, 64
2, 5008, Note_on_c, 0, 43, 32
2, 5025, Control_c, 0, 64, 0
2, 5055, Control_c, 0, 64, 127
2, 5087, Control_c, 0, 64, 0
2, 5123, Control_c, 0, 64, 127
2, 5218, Note_on_c, 0, 62, 51
2, 5287, Note_off_c, 0, 43, 64
2, 5324, Note_off_c, 0, 50, 64
2, 5343, Control_c, 0, 64, 0
2, 5364, Control_c, 0, 64, 127
2, 5426, Note_on_c, 0, 64, 35
